Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
110001 ALTA FLORESTA D'OESTE,3.0,2.0,4.0,19.0,6.0,17.0,18.0,8.0,9.0,3.0,6.0,4.0,5.0,7.0,14.0,31.0,66.0,9.0,231.0
110002 ARIQUEMES,3.0,9.0,17.0,24.0,15.0,22.0,32.0,39.0,79.0,92.0,80.0,71.0,79.0,56.0,67.0,90.0,52.0,40.0,867.0
110003 CABIXI,,1.0,,1.0,3.0,,4.0,1.0,2.0,,6.0,,,3.0,1.0,4.0,6.0,,32.0
110004 CACOAL,6.0,5.0,11.0,16.0,27.0,16.0,21.0,24.0,15.0,32.0,31.0,36.0,45.0,41.0,46.0,105.0,81.0,45.0,603.0
110005 CEREJEIRAS,2.0,4.0,2.0,6.0,7.0,1.0,3.0,4.0,8.0,5.0,,8.0,4.0,,9.0,9.0,8.0,14.0,94.0
110006 COLORADO DO OESTE,1.0,2.0,3.0,7.0,,,18.0,2.0,4.0,12.0,14.0,9.0,12.0,10.0,7.0,8.0,7.0,7.0,123.0
110007 CORUMBIARA,,1.0,3.0,,,,3.0,1.0,,,,2.0,,3.0,1.0,3.0,3.0,6.0,26.0
110008 COSTA MARQUES,,,,,,1.0,3.0,,2.0,4.0,5.0,6.0,1.0,3.0,2.0,,3.0,2.0,32.0
110009 ESPIGAO D'OESTE,,,5.0,3.0,3.0,,3.0,2.0,1.0,1.0,1.0,27.0,11.0,5.0,17.0,21.0,15.0,9.0,124.0
110010 GUAJARA-MIRIM,5.0,4.0,4.0,5.0,5.0,5.0,2.0,14.0,28.0,17.0,16.0,23.0,13.0,22.0,23.0,22.0,20.0,15.0,243.0
110011 JARU,19.0,14.0,5.0,18.0,13.0,22.0,20.0,19.0,15.0,18.0,25.0,34.0,41.0,37.0,43.0,67.0,66.0,35.0,511.0
110012 JI-PARANA,6.0,11.0,18.0,28.0,22.0,16.0,23.0,49.0,46.0,61.0,141.0,122.0,61.0,83.0,107.0,134.0,142.0,136.0,1206.0
110013 MACHADINHO D'OESTE,3.0,,2.0,4.0,2.0,2.0,2.0,3.0,,10.0,14.0,14.0,6.0,26.0,13.0,27.0,41.0,23.0,192.0
110014 NOVA BRASILANDIA D'OESTE,1.0,,,2.0,,2.0,1.0,2.0,4.0,7.0,3.0,4.0,8.0,10.0,9.0,13.0,18.0,6.0,90.0
110015 OURO PRETO DO OESTE,5.0,11.0,16.0,21.0,12.0,22.0,21.0,22.0,26.0,42.0,48.0,35.0,35.0,38.0,30.0,58.0,38.0,21.0,501.0
110018 PIMENTA BUENO,3.0,,2.0,3.0,3.0,5.0,7.0,9.0,7.0,6.0,25.0,26.0,40.0,31.0,33.0,17.0,60.0,42.0,319.0
110020 PORTO VELHO,70.0,131.0,195.0,351.0,363.0,565.0,420.0,396.0,599.0,457.0,818.0,558.0,700.0,713.0,723.0,1057.0,801.0,641.0,9558.0
110025 PRESIDENTE MEDICI,2.0,4.0,5.0,6.0,,1.0,1.0,7.0,6.0,4.0,6.0,3.0,5.0,4.0,1.0,16.0,35.0,17.0,123.0
110026 RIO CRESPO,,,1.0,,,,,,,2.0,4.0,3.0,1.0,,,4.0,4.0,2.0,21.0
110028 ROLIM DE MOURA,1.0,2.0,,3.0,16.0,1.0,6.0,5.0,11.0,27.0,36.0,24.0,40.0,36.0,49.0,86.0,81.0,46.0,470.0
110029 SANTA LUZIA D'OESTE,1.0,1.0,4.0,1.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,10.0,13.0,14.0,18.0,71.0
110030 VILHENA,3.0,1.0,3.0,7.0,10.0,7.0,88.0,102.0,66.0,125.0,226.0,228.0,211.0,218.0,116.0,264.0,270.0,154.0,2099.0
110032 SAO MIGUEL DO GUAPORE,5.0,1.0,1.0,7.0,8.0,,2.0,1.0,7.0,19.0,17.0,8.0,14.0,8.0,12.0,23.0,18.0,3.0,154.0
110033 NOVA MAMORE,3.0,2.0,7.0,7.0,4.0,,1.0,10.0,10.0,8.0,5.0,14.0,7.0,13.0,16.0,14.0,15.0,8.0,144.0
110034 ALVORADA D'OESTE,1.0,1.0,2.0,6.0,3.0,3.0,6.0,3.0,13.0,4.0,7.0,6.0,10.0,11.0,6.0,4.0,3.0,5.0,94.0
110037 ALTO ALEGRE DOS PARECIS,,3.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,7.0,3.0,3.0,2.0,6.0,9.0,3.0,2.0,54.0
110040 ALTO PARAISO,2.0,2.0,8.0,9.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,9.0,4.0,8.0,8.0,10.0,4.0,6.0,89.0
110045 BURITIS,3.0,2.0,3.0,5.0,5.0,,5.0,7.0,3.0,3.0,9.0,11.0,11.0,14.0,16.0,42.0,34.0,22.0,195.0
110050 NOVO HORIZONTE DO OESTE,1.0,,,3.0,6.0,4.0,10.0,6.0,9.0,10.0,6.0,11.0,25.0,13.0,11.0,15.0,22.0,13.0,165.0
110060 CACAULANDIA,,1.0,3.0,5.0,,1.0,2.0,2.0,1.0,,3.0,,2.0,2.0,2.0,5.0,4.0,2.0,35.0
110070 CAMPO NOVO DE RONDONIA,1.0,,1.0,2.0,1.0,3.0,2.0,,7.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,,37.0
110080 CANDEIAS DO JAMARI,7.0,3.0,1.0,4.0,2.0,8.0,5.0,5.0,12.0,10.0,17.0,13.0,14.0,13.0,14.0,49.0,28.0,12.0,217.0
110090 CASTANHEIRAS,,2.0,,,1.0,,,,,,,1.0,,,,,1.0,,5.0
110092 CHUPINGUAIA,,,,,,1.0,4.0,5.0,1.0,4.0,5.0,4.0,3.0,,7.0,3.0,6.0,4.0,47.0
110094 CUJUBIM,,1.0,,2.0,,,1.0,7.0,3.0,6.0,13.0,6.0,9.0,7.0,14.0,15.0,11.0,15.0,110.0
110100 GOVERNADOR JORGE TEIXEIRA,2.0,1.0,5.0,5.0,5.0,,,,5.0,,1.0,,,,,3.0,,,27.0
110110 ITAPUA DO OESTE,2.0,1.0,2.0,7.0,,2.0,,,14.0,,4.0,7.0,4.0,2.0,7.0,8.0,7.0,11.0,78.0
110120 MINISTRO ANDREAZZA,,1.0,,,1.0,1.0,,1.0,16.0,9.0,19.0,14.0,8.0,8.0,1.0,2.0,7.0,6.0,94.0
110130 MIRANTE DA SERRA,,2.0,2.0,2.0,1.0,2.0,9.0,7.0,7.0,1.0,9.0,7.0,6.0,6.0,5.0,13.0,9.0,2.0,90.0
110140 MONTE NEGRO,4.0,2.0,1.0,3.0,,,,1.0,4.0,4.0,4.0,6.0,7.0,6.0,2.0,18.0,15.0,3.0,80.0
110143 NOVA UNIAO,,4.0,2.0,,,1.0,,,,,1.0,,2.0,,1.0,4.0,3.0,2.0,20.0
110145 PARECIS,,,4.0,1.0,2.0,1.0,7.0,5.0,1.0,6.0,5.0,5.0,7.0,3.0,5.0,7.0,4.0,1.0,64.0
110146 PIMENTEIRAS DO OESTE,,,,,1.0,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,2.0,,10.0
110147 PRIMAVERA DE RONDONIA,,,,,,1.0,,2.0,1.0,,6.0,1.0,1.0,,3.0,3.0,3.0,2.0,23.0
110148 SAO FELIPE D'OESTE,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,3.0,2.0,,11.0
110149 SAO FRANCISCO DO GUAPORE,,1.0,3.0,,,2.0,6.0,4.0,4.0,2.0,12.0,16.0,5.0,4.0,1.0,8.0,23.0,23.0,114.0
110150 SERINGUEIRAS,1.0,,2.0,3.0,,3.0,,4.0,7.0,1.0,3.0,1.0,2.0,1.0,5.0,12.0,8.0,6.0,59.0
110155 TEIXEIROPOLIS,,,1.0,2.0,,1.0,2.0,,,3.0,1.0,,,,1.0,,1.0,,12.0
110160 THEOBROMA,2.0,2.0,4.0,2.0,3.0,1.0,6.0,6.0,9.0,6.0,2.0,4.0,4.0,7.0,3.0,12.0,7.0,2.0,82.0
110170 URUPA,1.0,,1.0,,,,,1.0,2.0,4.0,4.0,4.0,1.0,,2.0,3.0,4.0,2.0,29.0
110175 VALE DO ANARI,,1.0,,,1.0,,1.0,1.0,2.0,4.0,,1.0,4.0,,4.0,3.0,2.0,1.0,25.0
110180 VALE DO PARAISO,,1.0,,,,2.0,3.0,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,3.0,1.0,5.0,28.0
120001 ACRELANDIA,6.0,1.0,8.0,7.0,8.0,13.0,20.0,8.0,7.0,5.0,8.0,9.0,8.0,3.0,11.0,5.0,8.0,6.0,141.0
120005 ASSIS BRASIL,3.0,,,1.0,4.0,6.0,2.0,3.0,5.0,,4.0,,1.0,1.0,3.0,3.0,4.0,5.0,45.0
120010 BRASILEIA,8.0,3.0,1.0,8.0,20.0,16.0,18.0,14.0,18.0,14.0,6.0,12.0,9.0,9.0,14.0,16.0,25.0,17.0,228.0
120013 BUJARI,7.0,1.0,,3.0,2.0,7.0,12.0,13.0,12.0,4.0,11.0,7.0,6.0,6.0,8.0,13.0,19.0,12.0,143.0
120017 CAPIXABA,2.0,,,3.0,14.0,23.0,26.0,19.0,21.0,14.0,17.0,21.0,11.0,4.0,12.0,6.0,13.0,4.0,210.0
120020 CRUZEIRO DO SUL,26.0,32.0,22.0,13.0,16.0,5.0,10.0,7.0,11.0,10.0,51.0,105.0,78.0,116.0,114.0,170.0,101.0,99.0,986.0
120025 EPITACIOLANDIA,3.0,1.0,,2.0,8.0,5.0,1.0,13.0,5.0,5.0,3.0,6.0,8.0,6.0,6.0,12.0,12.0,12.0,108.0
120030 FEIJO,9.0,6.0,5.0,6.0,10.0,11.0,8.0,8.0,10.0,10.0,5.0,10.0,7.0,8.0,8.0,17.0,24.0,19.0,181.0
120032 JORDAO,,,,,,,,2.0,1.0,3.0,1.0,1.0,4.0,4.0,,3.0,3.0,3.0,25.0
120033 MANCIO LIMA,1.0,,2.0,,5.0,1.0,3.0,2.0,,,2.0,2.0,7.0,8.0,6.0,7.0,2.0,8.0,56.0
120034 MANOEL URBANO,6.0,14.0,5.0,8.0,6.0,7.0,10.0,16.0,7.0,11.0,6.0,3.0,8.0,3.0,6.0,10.0,6.0,2.0,134.0
120035 MARECHAL THAUMATURGO,1.0,2.0,,,,1.0,,,1.0,,3.0,10.0,10.0,7.0,7.0,16.0,10.0,12.0,80.0
120038 PLACIDO DE CASTRO,12.0,3.0,2.0,14.0,14.0,12.0,26.0,20.0,15.0,25.0,20.0,20.0,15.0,7.0,12.0,11.0,12.0,8.0,248.0
120039 PORTO WALTER,,1.0,,1.0,1.0,1.0,,1.0,,,3.0,6.0,1.0,1.0,4.0,8.0,4.0,8.0,40.0
120040 RIO BRANCO,919.0,817.0,859.0,925.0,824.0,782.0,1569.0,1639.0,1272.0,1070.0,1171.0,1124.0,779.0,590.0,866.0,927.0,1157.0,746.0,18036.0
120042 RODRIGUES ALVES,3.0,4.0,,2.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,2.0,4.0,6.0,11.0,4.0,5.0,18.0,77.0
120043 SANTA ROSA DO PURUS,,,4.0,2.0,1.0,2.0,1.0,4.0,1.0,,,,1.0,3.0,,1.0,2.0,1.0,23.0
120045 SENADOR GUIOMARD,8.0,,2.0,3.0,17.0,25.0,28.0,32.0,26.0,11.0,22.0,14.0,14.0,17.0,16.0,24.0,26.0,16.0,301.0
120050 SENA MADUREIRA,13.0,15.0,11.0,8.0,27.0,34.0,53.0,32.0,42.0,42.0,45.0,48.0,38.0,24.0,30.0,27.0,47.0,18.0,554.0
120060 TARAUACA,13.0,7.0,23.0,21.0,21.0,13.0,28.0,29.0,42.0,34.0,31.0,12.0,22.0,30.0,27.0,41.0,39.0,40.0,473.0
120070 XAPURI,6.0,1.0,5.0,5.0,5.0,24.0,23.0,12.0,9.0,11.0,24.0,20.0,19.0,12.0,18.0,13.0,23.0,30.0,260.0
120080 PORTO ACRE,3.0,,,,13.0,30.0,34.0,38.0,25.0,15.0,18.0,21.0,15.0,10.0,9.0,9.0,20.0,21.0,281.0
130002 ALVARAES,,,1.0,,,,,,,1.0,,1.0,,4.0,1.0,2.0,,3.0,13.0
130006 AMATURA,,,,,,,1.0,,,,2.0,1.0,,2.0,,,,2.0,8.0
130008 ANAMA,,,,,,1.0,,,,,,,,2.0,1.0,,2.0,1.0,7.0
130010 ANORI,,,,1.0,,,,,,,,,,,1.0,2.0,,2.0,6.0
130014 APUI,,,,,,2.0,4.0,2.0,3.0,4.0,3.0,5.0,1.0,5.0,2.0,1.0,7.0,1.0,40.0
130020 ATALAIA DO NORTE,,,,,,,,,,,,1.0,,,1.0,,,,2.0
130030 AUTAZES,,,,,,,,1.0,,,2.0,3.0,,5.0,7.0,2.0,2.0,1.0,23.0
130040 BARCELOS,3.0,4.0,3.0,6.0,4.0,,,,2.0,6.0,,4.0,,2.0,4.0,4.0,7.0,6.0,55.0
130050 BARREIRINHA,4.0,,1.0,,,,,,,,1.0,2.0,2.0,,6.0,20.0,16.0,11.0,63.0
130060 BENJAMIN CONSTANT,,,,,,,,1.0,,,,,,,,,,1.0,2.0
130063 BERURI,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,1.0,9.0
130068 BOA VISTA DO RAMOS,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,7.0
130070 BOCA DO ACRE,7.0,,,7.0,16.0,28.0,32.0,25.0,18.0,14.0,16.0,9.0,8.0,7.0,14.0,11.0,10.0,21.0,243.0
130080 BORBA,,,,,,,,1.0,,,1.0,,,,,,,,2.0
130083 CAAPIRANGA,,,,,,,,,,,,,22.0,5.0,2.0,,,,29.0
130090 CANUTAMA,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,,,10.0
130100 CARAUARI,3.0,1.0,2.0,4.0,3.0,,,,,,,,1.0,6.0,6.0,9.0,23.0,5.0,63.0
130110 CAREIRO,,,,,,,2.0,2.0,2.0,,2.0,,,4.0,,1.0,,2.0,15.0
130115 CAREIRO DA VARZEA,,,,,,,1.0,,,,,,,,1.0,1.0,,,3.0
130120 COARI,2.0,,,2.0,2.0,,19.0,6.0,16.0,8.0,16.0,31.0,24.0,48.0,59.0,22.0,17.0,17.0,289.0
130130 CODAJAS,,,,,,,1.0,,,1.0,,,,1.0,,2.0,,3.0,8.0
130140 EIRUNEPE,,,,1.0,,,,,,,,,1.0,1.0,,8.0,27.0,39.0,77.0
130150 ENVIRA,,,,,,,,,,1.0,,,,1.0,5.0,7.0,4.0,11.0,29.0
130165 GUAJARA,,2.0,,2.0,,,2.0,2.0,,,2.0,1.0,3.0,9.0,4.0,7.0,2.0,6.0,42.0
130170 HUMAITA,2.0,1.0,1.0,,2.0,2.0,5.0,9.0,2.0,11.0,8.0,6.0,8.0,2.0,7.0,17.0,19.0,6.0,108.0
130180 IPIXUNA,,,,1.0,1.0,,4.0,3.0,10.0,9.0,15.0,5.0,11.0,8.0,10.0,9.0,8.0,12.0,106.0
130185 IRANDUBA,,,,,,,,,,,2.0,1.0,,6.0,4.0,3.0,10.0,5.0,31.0
130190 ITACOATIARA,3.0,,3.0,1.0,2.0,,,,2.0,,2.0,3.0,5.0,4.0,6.0,7.0,17.0,10.0,65.0
130195 ITAMARATI,4.0,,,,,,,,,,,,,,1.0,,,,5.0
130200 ITAPIRANGA,,,,,2.0,,,,,,,,,1.0,3.0,1.0,2.0,2.0,11.0
130210 JAPURA,,,1.0,,1.0,,,,,,1.0,,,,,,,,3.0
