 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano processamento
Capítulo CID-10: V.   Transtornos mentais e comportamentais
Período:Jan/2008-Set/2025
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"110001 ALTA FLORESTA D'OESTE";3;2;4;19;6;17;18;8;9;3;6;4;5;7;14;31;66;9;231
"110002 ARIQUEMES";3;9;17;24;15;22;32;39;79;92;80;71;79;56;67;90;52;40;867
"110003 CABIXI";-;1;-;1;3;-;4;1;2;-;6;-;-;3;1;4;6;-;32
"110004 CACOAL";6;5;11;16;27;16;21;24;15;32;31;36;45;41;46;105;81;45;603
"110005 CEREJEIRAS";2;4;2;6;7;1;3;4;8;5;-;8;4;-;9;9;8;14;94
"110006 COLORADO DO OESTE";1;2;3;7;-;-;18;2;4;12;14;9;12;10;7;8;7;7;123
"110007 CORUMBIARA";-;1;3;-;-;-;3;1;-;-;-;2;-;3;1;3;3;6;26
"110008 COSTA MARQUES";-;-;-;-;-;1;3;-;2;4;5;6;1;3;2;-;3;2;32
"110009 ESPIGAO D'OESTE";-;-;5;3;3;-;3;2;1;1;1;27;11;5;17;21;15;9;124
"110010 GUAJARA-MIRIM";5;4;4;5;5;5;2;14;28;17;16;23;13;22;23;22;20;15;243
"110011 JARU";19;14;5;18;13;22;20;19;15;18;25;34;41;37;43;67;66;35;511
"110012 JI-PARANA";6;11;18;28;22;16;23;49;46;61;141;122;61;83;107;134;142;136;1206
"110013 MACHADINHO D'OESTE";3;-;2;4;2;2;2;3;-;10;14;14;6;26;13;27;41;23;192
"110014 NOVA BRASILANDIA D'OESTE";1;-;-;2;-;2;1;2;4;7;3;4;8;10;9;13;18;6;90
"110015 OURO PRETO DO OESTE";5;11;16;21;12;22;21;22;26;42;48;35;35;38;30;58;38;21;501
"110018 PIMENTA BUENO";3;-;2;3;3;5;7;9;7;6;25;26;40;31;33;17;60;42;319
"110020 PORTO VELHO";70;131;195;351;363;565;420;396;599;457;818;558;700;713;723;1057;801;641;9558
"110025 PRESIDENTE MEDICI";2;4;5;6;-;1;1;7;6;4;6;3;5;4;1;16;35;17;123
"110026 RIO CRESPO";-;-;1;-;-;-;-;-;-;2;4;3;1;-;-;4;4;2;21
"110028 ROLIM DE MOURA";1;2;-;3;16;1;6;5;11;27;36;24;40;36;49;86;81;46;470
"110029 SANTA LUZIA D'OESTE";1;1;4;1;2;-;-;2;2;1;1;-;-;1;10;13;14;18;71
"110030 VILHENA";3;1;3;7;10;7;88;102;66;125;226;228;211;218;116;264;270;154;2099
"110032 SAO MIGUEL DO GUAPORE";5;1;1;7;8;-;2;1;7;19;17;8;14;8;12;23;18;3;154
"110033 NOVA MAMORE";3;2;7;7;4;-;1;10;10;8;5;14;7;13;16;14;15;8;144
"110034 ALVORADA D'OESTE";1;1;2;6;3;3;6;3;13;4;7;6;10;11;6;4;3;5;94
"110037 ALTO ALEGRE DOS PARECIS";-;3;4;1;2;4;2;1;1;1;7;3;3;2;6;9;3;2;54
"110040 ALTO PARAISO";2;2;8;9;3;2;2;2;4;5;1;9;4;8;8;10;4;6;89
"110045 BURITIS";3;2;3;5;5;-;5;7;3;3;9;11;11;14;16;42;34;22;195
"110050 NOVO HORIZONTE DO OESTE";1;-;-;3;6;4;10;6;9;10;6;11;25;13;11;15;22;13;165
"110060 CACAULANDIA";-;1;3;5;-;1;2;2;1;-;3;-;2;2;2;5;4;2;35
"110070 CAMPO NOVO DE RONDONIA";1;-;1;2;1;3;2;-;7;2;3;1;2;5;2;2;3;-;37
"110080 CANDEIAS DO JAMARI";7;3;1;4;2;8;5;5;12;10;17;13;14;13;14;49;28;12;217
